"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35744.0","0.0"," ","City of Grand Haven DPW","45254"," ","43.0561409307","-86.2057240046","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35745.0","0.0"," ","City of Grand Haven DPW","45255"," ","43.0561432386","-86.2058517247","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35746.0","0.0"," ","City of Grand Haven DPW","45256"," ","43.0571000054","-86.2058820331","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35747.0","0.0"," ","City of Grand Haven DPW","45257"," ","43.0571030489","-86.2057530228","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35748.0","0.0"," ","City of Grand Haven DPW","45258"," ","43.0567754436","-86.2032524656","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35749.0","0.0"," ","City of Grand Haven DPW","45259"," ","43.0566578297","-86.2032510685","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35750.0","0.0"," ","City of Grand Haven DPW","45260"," ","43.056774252","-86.2034462029","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35751.0","0.0"," ","City of Grand Haven DPW","45261"," ","43.0575259871","-86.2034299862","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35752.0","0.0"," ","City of Grand Haven DPW","45262"," ","43.0575264344","-86.2032968118","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35753.0","0.0"," ","City of Grand Haven DPW","45263"," ","43.0575811015","-86.2032479189","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35754.0","0.0"," ","City of Grand Haven DPW","45264"," ","43.057670306","-86.203250573","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35755.0","0.0"," ","City of Grand Haven DPW","45265"," ","43.0576713157","-86.2035032012","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35756.0","0.0"," ","City of Grand Haven DPW","45266"," ","43.0580889575","-86.2009735563","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35757.0","0.0"," ","City of Grand Haven DPW","45267"," ","43.0580890358","-86.2008633334","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35758.0","0.0"," ","City of Grand Haven DPW","45268"," ","43.0585379025","-86.2009090902","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35759.0","0.0"," ","City of Grand Haven DPW","45269"," ","43.0586011884","-86.2012936829","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35760.0","0.0"," ","City of Grand Haven DPW","45270"," ","43.0607753364","-86.2059682104","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35761.0","0.0"," ","City of Grand Haven DPW","45271"," ","43.0607723887","-86.2058385809","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35762.0","0.0"," ","City of Grand Haven DPW","45272"," ","43.061283235","-86.2060764299","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35763.0","0.0"," ","City of Grand Haven DPW","45273"," ","43.0611795249","-86.2060748756","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35764.0","0.0"," ","City of Grand Haven DPW","45274"," ","43.0612008966","-86.2057730881","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35765.0","0.0"," ","City of Grand Haven DPW","45275"," ","43.0612787521","-86.2057697708","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35766.0","0.0"," ","City of Grand Haven DPW","45276"," ","43.0620433141","-86.2059637273","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35767.0","0.0"," ","City of Grand Haven DPW","45277"," ","43.0620397299","-86.2058374092","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35768.0","0.0"," ","City of Grand Haven DPW","45278"," ","43.0621820165","-86.2060409736","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35769.0","0.0"," ","City of Grand Haven DPW","45279"," ","43.0621050187","-86.2057626688","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35770.0","0.0"," ","City of Grand Haven DPW","45280"," ","43.0621835836","-86.205766933","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35771.0","0.0"," ","City of Grand Haven DPW","45281"," ","43.0628567121","-86.205969934","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35772.0","0.0"," ","City of Grand Haven DPW","45282"," ","43.0631182172","-86.2060053619","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35773.0","0.0"," ","City of Grand Haven DPW","45283"," ","43.0628856621","-86.21568405","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35774.0","0.0"," ","City of Grand Haven DPW","45284"," ","43.0628055554","-86.2156111052","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35775.0","0.0"," ","City of Grand Haven DPW","45285"," ","43.0627256242","-86.2156036723","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35776.0","0.0"," ","City of Grand Haven DPW","45286"," ","43.0626763199","-86.2156828173","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35777.0","0.0"," ","City of Grand Haven DPW","45287"," ","43.0626631322","-86.2158134305","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35778.0","0.0"," ","City of Grand Haven DPW","45288"," ","43.0627161313","-86.2158872407","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35779.0","0.0"," ","City of Grand Haven DPW","45289"," ","43.0627985231","-86.2158947486","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35780.0","0.0"," ","City of Grand Haven DPW","45290"," ","43.0627840713","-86.2181668166","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35781.0","0.0"," ","City of Grand Haven DPW","45291"," ","43.0627761033","-86.2182791112","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35782.0","0.0"," ","City of Grand Haven DPW","45292"," ","43.0626853195","-86.2198602503","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35783.0","0.0"," ","City of Grand Haven DPW","45293"," ","43.0626008287","-86.2199064215","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35784.0","0.0"," ","City of Grand Haven DPW","45294"," ","43.0628743331","-86.2132103186","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35785.0","0.0"," ","City of Grand Haven DPW","45295"," ","43.0620766974","-86.2096039372","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35786.0","0.0"," ","City of Grand Haven DPW","45296"," ","43.0619889095","-86.2095973002","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35787.0","0.0"," ","City of Grand Haven DPW","45297"," ","43.0574370683","-86.2133622431","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35788.0","0.0"," ","City of Grand Haven DPW","45298"," ","43.0627674825","-86.213367451","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35789.0","0.0"," ","City of Grand Haven DPW","45299"," ","43.0627847501","-86.2132134774","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
