"FID","SUBTYPE","JURISDICTI","OWNER","Source","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"24.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C247","42.8020360954","-85.5154680312","Lower Thornapple River"
"25.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C249","42.8019537333","-85.5156825363","Lower Thornapple River"
"26.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C209","42.8020962088","-85.5084244882","Lower Thornapple River"
"27.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C207","42.8020221547","-85.5083802851","Lower Thornapple River"
"28.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C208","42.8023185059","-85.5088427407","Lower Thornapple River"
"29.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C210","42.8022170117","-85.5081713105","Lower Thornapple River"
"30.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C211","42.8022214739","-85.5076137023","Lower Thornapple River"
"31.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C212","42.8023159472","-85.5075046188","Lower Thornapple River"
"32.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C223","42.8023913936","-85.5113986148","Lower Thornapple River"
"33.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C224","42.8023671014","-85.5112911476","Lower Thornapple River"
"34.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C242","42.8024653403","-85.5128984705","Lower Thornapple River"
"35.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C241","42.8023862815","-85.5129364894","Lower Thornapple River"
"36.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C239","42.8015946783","-85.5128815862","Lower Thornapple River"
"37.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C240","42.8016068329","-85.5129754411","Lower Thornapple River"
"38.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C230","42.8002158875","-85.5127720245","Lower Thornapple River"
"39.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C231","42.8004242238","-85.5128545942","Lower Thornapple River"
"40.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C254","42.7990767646","-85.5122738122","Lower Thornapple River"
"41.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C256","42.7990863247","-85.5124841903","Lower Thornapple River"
"42.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C255","42.7989933121","-85.5124241459","Lower Thornapple River"
"43.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C258","42.7983819229","-85.5121800062","Lower Thornapple River"
"44.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C257","42.7983794115","-85.5122898324","Lower Thornapple River"
"45.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C228","42.8004546351","-85.5120274375","Lower Thornapple River"
"46.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C229","42.8005233775","-85.5120552893","Lower Thornapple River"
"47.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C218","42.8006107016","-85.5116854812","Lower Thornapple River"
"48.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C221","42.8015581226","-85.5116189577","Lower Thornapple River"
"49.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C222","42.8016045777","-85.5114517257","Lower Thornapple River"
"50.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C220","42.8014686869","-85.5114880264","Lower Thornapple River"
"51.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C219","42.8007375578","-85.511498834","Lower Thornapple River"
"52.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C217","42.8007403999","-85.5102738825","Lower Thornapple River"
"53.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C215","42.8005720982","-85.5102798292","Lower Thornapple River"
"54.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C216","42.8006717578","-85.5104620464","Lower Thornapple River"
"55.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C226","42.7996770741","-85.510484366","Lower Thornapple River"
"56.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C227","42.7997239188","-85.5103885476","Lower Thornapple River"
